,Akcje,C/WK,C/Z,Kapitalizacja na koniec miesiąca (mln),Kapitalizacja na koniec okresu (mln),Stopa,Unnamed: 5,Wartość,Wielkość,okres
20,18 BORYSZEW,"10,91","28,4",,"2 211 497 1,37","0,5",,"202,68","11,92",2004-08
21,19 WARTA,"2,74","35,6",,"1 739 391 1,07",---,,"633,86","8,13",2004-08
22,20 DEBICA,"2,71","13,1",,"1 691 380 1,04","6,4",,"622,88","13,80",2004-08
23,21 CERSANIT,"4,46","15,8",,"1 536 345 0,95",---,,"344,19","13,29",2004-08
24,22 GRAJEWO,"5,69","18,0",,"1 497 337 0,93","4,1",,"262,96","6,76",2004-08
25,23 NETIA,"0,68",x,,"1 475 332 0,91",---,,"2 181,28","361,52",2004-08
26,24 KETY,"3,72","16,9",,"1 465 329 0,91","1,8",,"393,34","10,50",2004-08
27,25 BUDIMEX,"2,15","20,0",,"1 098 247 0,68",---,,"511,58","25,53",2004-08
28,26 FORTISPL,"1,96","18,8",,"1 071 241 0,66",---,,"546,74","15,08",2004-08
29,27 ORBIS,"0,87","25,3",,"1 060 238 0,65","1,5",,"1 222,37","46,08",2004-08
30,28 ECHO,"2,45","30,1",,"872 196 0,54",---,,"355,38","10,50",2004-08
31,29 LPP,"4,93","26,0",,"852 192 0,53",---,,"172,67","1,70",2004-08
32,30 NORDEABP,"1,71","402,3",,"840 189 0,52",---,,"490,90","33,62",2004-08
33,31 COMPLAND,"4,08","48,3",,"787 177 0,49",---,,"192,96","6,84",2004-08
34,32 NFIEMF,"1,22",x,,"771 173 0,48",---,,"631,97","109,41",2004-08
35,33 PGF,"4,40","14,1",,"746 168 0,46","3,3",,"169,79","12,24",2004-08
36,34 GETIN,"1,90",x,,"737 166 0,46",---,,"388,58","315,00",2004-08
37,35 FARMACOL,"2,52","14,4",,"725 163 0,45",---,,"287,48","23,40",2004-08
38,36 GROCLIN,"3,54","16,4",,"721 162 0,45",---,,"203,73","5,50",2004-08
39,37 ELEKTRIM,"2,40","1,3",,"670 151 0,41",---,,"278,75","83,77",2004-08
40,38 SOKOLOW,"2,32","14,7",,"641 144 0,40",---,,"276,10","100,19",2004-08
41,39 POLFKUTNO,"3,49","22,5",,"613 138 0,38",---,,"175,77","1,88",2004-08
42,40 BOS,"1,02","22,5",,"594 134 0,37","0,2",,"582,86","13,20",2004-08
43,41 IMPEXMET,"1,30","23,8",,"576 130 0,36",---,,"442,71","10,63",2004-08
44,42 DBPBC,"3,05",x,,"558 126 0,34",---,,"183,05","336,27",2004-08
45,43 STALPROD,"3,24","10,3",,"553 124 0,34","1,5",,"170,74","6,73",2004-08
46,44 SOFTBANK,"3,95","138,2",,"499 112 0,31",---,,"126,24","20,95",2004-08
47,45 FORTWRO,"1,14","43,6",,"486 109 0,30","1,0",,"426,77","50,60",2004-08
48,46 DUDA,"3,96","21,9",,"479 108 0,30",---,,"120,90","4,31",2004-08
49,47 SANOK,"4,25","11,4",,"458 103 0,28",---,,"107,81","2,55",2004-08
50,48 KOGENERA,"0,73","22,1",,"454 102 0,28","1,8",,"625,06","14,90",2004-08
51,49 COMARCH,"4,11","30,1",,"448 101 0,28",---,,"108,94","6,85",2004-08
52,50 POLIFARBC,"1,25","25,8",,"447 100 0,28","1,5",,"357,35","45,36",2004-08
53,51 SNIEZKA,"3,55","21,1",,"446 100 0,28","1,1",,"125,71","14,20",2004-08
54,52 KRUSZWICA,"2,62","15,5",,"440 99 0,27",---,,"168,07","12,94",2004-08
55,53 PBG,"3,38","23,9",,"432 97 0,27",---,,"127,65","10,53",2004-08
56,54 JELFA,"1,28","23,0",,"431 97 0,27","3,9",,"335,68","6,80",2004-08
57,55 DZPOLSKA,"1,98","98,9",,"418 94 0,26",---,,"211,23","41,00",2004-08
58,56 MENNICA,"1,59","17,0",,"410 92 0,25","1,6",,"257,24","6,57",2004-08
59,57 INTERCARS,"4,61","23,0",,"376 85 0,23","0,5",,"81,51","11,82",2004-08
60,58 EMAX,"4,82","38,5",,"346 78 0,21",---,,"71,78","3,39",2004-08
61,59 GRUPAONET,"6,28","17,4",,"341 77 0,21",---,,"54,28","6,88",2004-08
62,60 AMICA,"1,34","13,3",,"328 74 0,20",---,,"244,61","8,74",2004-08
63,61 FORTE,"1,69","14,0",,"324 73 0,20",---,,"192,47","23,68",2004-08
64,62 PROVIMROL,"3,16","14,3",,"312 70 0,19",---,,"98,76","19,96",2004-08
65,63 APATOR,"4,95","14,0",,"300 67 0,19","1,8",,"60,63","3,37",2004-08
66,64 KROSNO,"2,43","17,4",,"296 67 0,18","2,1",,"121,58","2,53",2004-08
67,65 REDAN,"3,16","28,3",,"294 66 0,18",---,,"93,10","20,88",2004-08
68,66 WISTIL,"3,04","305,8",,"289 65 0,18","1,4",,"95,19","1,00",2004-08
69,67 STALEXP,"4,91","5,4",,"277 62 0,17",---,,"56,39","107,76",2004-08
70,68 INDYKPOL,"3,84","12,6",,"272 61 0,17",---,,"70,70","3,12",2004-08
71,69 ELDORADO,"3,17","17,6",,"268 60 0,17",---,,"84,63","6,64",2004-08
72,70 POLIMEXMS,"2,12","13,1",,"263 59 0,16","1,4",,"123,88","9,60",2004-08
73,71 STALPROFI,"2,89","5,7",,"256 57 0,16","1,7",,"88,26","1,75",2004-08
74,72 TECHMEX,"1,92","27,1",,"246 55 0,15",---,,"128,14","8,67",2004-08
75,73 JCAUTO,"2,51","13,7",,"243 55 0,15",---,,"96,70","7,50",2004-08
76,74 NOWAGALA,"4,11","19,9",,"242 54 0,15",---,,"58,92","36,94",2004-08
77,75 09KWIAT,"0,78","5,7",,"237 53 0,15",---,,"304,53","22,54",2004-08
0,,,,,,dywidendy (%),,księgowa (mln zł),emisji (mln),2004-09
1,Shares,P/BV,P/E,,Market capitalisation at the period-end (mil),Dividend,,Book,Shares,2004-09
2,,,,,PLN EUR %,yield (%),,value (PLN mil),outstanding (mil),2004-09
3,1 TPSA,"1,46","13,2",,"21 280 4 855 12,62","0,8",,"14 555,48","1 400,00",2004-09
4,2 PEKAO,"2,86","18,5",,"19 978 4 558 11,85","3,7",,"6 990,46","166,48",2004-09
5,3 PKNORLEN,"1,48","9,9",,"14 670 3 347 8,70","1,9",,"9 894,44","427,71",2004-09
6,4 BANKBPH,"2,35","23,6",,"12 807 2 922 7,60","2,0",,"5 447,55","28,72",2004-09
7,5 HANDLOWY,"1,37","21,2",,"8 023 1 830 4,76","3,0",,"5 835,20","130,66",2004-09
8,6 KGHM,"1,56","4,4",,"6 780 1 547 4,02",---,,"4 340,72","200,00",2004-09
9,7 BZWBK,"2,20","22,3",,"6 034 1 377 3,58","0,4",,"2 742,05","72,96",2004-09
10,8 ZYWIEC,"4,88","20,6",,"4 931 1 125 2,92","4,6",,"1 011,14","11,34",2004-09
11,9 INGBSK,"1,68","29,2",,"4 762 1 086 2,82","0,2",,"2 839,21","13,01",2004-09
12,10 SWIECIE,"5,56","16,8",,"3 200 730 1,90","7,8",,"575,80","50,00",2004-09
13,11 BRE,"1,39","149,1",,"3 072 701 1,82",---,,"2 202,37","28,71",2004-09
14,12 AGORA,"2,70","510,0",,"2 889 659 1,71",---,,"1 070,16","56,76",2004-09
15,13 GTC,"1,81","151,7",,"2 493 569 1,48","1,6",,"1 377,79","19,87",2004-09
16,14 MILLENNIUM,"1,33","20,5",,"2 446 558 1,45",---,,"1 843,77","849,18",2004-09
17,15 KREDYTB,"1,87",x,,"2 418 552 1,43",---,,"1 295,91","271,66",2004-09
18,16 EFL,"3,11","31,7",,"2 342 534 1,39","1,7",,"752,85","42,97",2004-09
19,17 PROKOM,"3,28","30,9",,"2 271 518 1,35",---,,"691,93","13,89",2004-09
20,18 BORYSZEW,"10,88","28,3",,"2 205 503 1,31","0,5",,"202,68","11,92",2004-09
21,19 WARTA,"2,69","34,9",,"1 707 389 1,01",---,,"633,86","8,13",2004-09
22,20 DEBICA,"2,61","12,6",,"1 629 372 0,97","6,6",,"622,88","13,80",2004-09
23,21 GRAJEWO,"6,08","19,2",,"1 599 365 0,95","3,9",,"262,96","6,76",2004-09
24,22 CERSANIT,"4,56","16,2",,"1 569 358 0,93",---,,"344,19","13,29",2004-09
25,23 NETIA,"0,69",x,,"1 501 342 0,89",---,,"2 181,28","361,58",2004-09
26,24 KETY,"3,70","16,8",,"1 454 332 0,86","1,8",,"393,38","10,50",2004-09
27,25 BUDIMEX,"2,43","22,6",,"1 241 283 0,74",---,,"511,53","25,53",2004-09
28,26 FORTISPL,"1,96","18,8",,"1 071 244 0,63",---,,"546,74","15,08",2004-09
29,27 ORBIS,"0,87","25,5",,"1 069 244 0,63","1,5",,"1 222,37","46,08",2004-09
30,28 LPP,"5,41","28,5",,"934 213 0,55",---,,"172,67","1,70",2004-09
31,29 ECHO,"2,55","31,3",,"907 207 0,54",---,,"355,38","10,50",2004-09
32,30 NFIEMF,"1,41",x,,"892 203 0,53",---,,"631,97","109,41",2004-09
33,31 NORDEABP,"1,71","402,3",,"840 192 0,50",---,,"490,90","33,62",2004-09
34,32 FARMACOL,"2,77","15,8",,"796 182 0,47",---,,"287,48","23,40",2004-09
35,33 PGF,"4,67","15,0",,"793 181 0,47","3,1",,"169,79","12,24",2004-09
36,34 GETIN,"1,99",x,,"775 177 0,46",---,,"388,58","315,00",2004-09
37,35 COMPLAND,"3,97","47,0",,"766 175 0,45",---,,"192,96","6,84",2004-09
38,36 GROCLIN,"3,48","16,2",,"710 162 0,42",---,,"203,73","5,50",2004-09
39,37 POLIMEXMS,"5,09","31,5",,"631 144 0,37","0,6",,"123,88","18,55",2004-09
40,38 POLFKUTNO,"3,53","22,8",,"621 142 0,37",---,,"175,77","1,88",2004-09
41,39 SOKOLOW,"2,20","13,7",,"611 139 0,36",---,,"277,77","100,19",2004-09
42,40 ELEKTRIM,"2,10","1,1",,"586 134 0,35",---,,"278,75","83,77",2004-09
43,41 STALPROD,"3,43","10,9",,"585 133 0,35","1,4",,"170,74","6,73",2004-09
44,42 BOS,"1,00","22,1",,"583 133 0,35","0,2",,"582,86","13,20",2004-09
45,43 DUDA,"4,71","26,0",,"569 130 0,34",---,,"120,90","4,31",2004-09
46,44 IMPEXMET,"1,25","23,7",,"551 126 0,33",---,,"442,14","10,63",2004-09
47,45 DBPBC,"2,92",x,,"535 122 0,32",---,,"183,05","336,27",2004-09
48,46 SOFTBANK,"4,15","149,1",,"524 119 0,31",---,,"126,15","20,95",2004-09
49,47 FORTWRO,"1,15","44,1",,"491 112 0,29","1,0",,"426,77","50,60",2004-09
50,48 PBG,"3,79","26,7",,"483 110 0,29",---,,"127,65","10,53",2004-09
51,49 KRUSZWICA,"2,62","15,5",,"440 100 0,26",---,,"168,07","12,94",2004-09
52,50 COMARCH,"4,03","29,5",,"439 100 0,26",---,,"108,94","6,85",2004-09
53,51 SANOK,"4,04","10,8",,"435 99 0,26",---,,"107,81","2,55",2004-09
54,52 KOGENERA,"0,69","21,1",,"434 99 0,26","1,9",,"625,06","14,90",2004-09
55,53 POLIFARBC,"1,21","25,0",,"433 99 0,26","1,6",,"357,35","45,36",2004-09
56,54 INTERCARS,"5,31","26,4",,"433 99 0,26","0,5",,"81,51","11,82",2004-09
57,55 SNIEZKA,"3,41","20,3",,"429 98 0,25","1,2",,"125,71","14,20",2004-09
58,56 DZPOLSKA,"1,98","98,9",,"418 95 0,25",---,,"211,23","41,00",2004-09
59,57 JELFA,"1,22","21,9",,"411 94 0,24","4,1",,"335,68","6,80",2004-09
60,58 MENNICA,"1,56","16,6",,"401 91 0,24","1,6",,"257,24","6,57",2004-09
61,59 GRUPAONET,"6,95","19,2",,"377 86 0,22",---,,"54,28","6,88",2004-09
62,60 EMAX,"5,19","41,5",,"373 85 0,22",---,,"71,78","3,39",2004-09
63,61 PROVIMROL,"3,55","16,0",,"350 80 0,21",---,,"98,76","19,96",2004-09
64,62 ASSECOPOL,"11,64","34,2",,"342 78 0,20","1,5",,"29,39","3,00",2004-09
65,63 FORTE,"1,70","14,1",,"328 75 0,19",---,,"192,60","23,68",2004-09
66,64 KROSNO,"2,68","19,2",,"326 74 0,19","1,9",,"121,58","2,53",2004-09
67,65 STALPROFI,"3,63","7,0",,"324 74 0,19","1,4",,"89,14","1,75",2004-09
68,66 AMICA,"1,29","12,9",,"316 72 0,19",---,,"244,61","8,74",2004-09
69,67 TUEUROPA,"3,92","28,6",,"299 68 0,18",---,,"76,30","7,88",2004-09
70,68 APATOR,"4,92","14,0",,"298 68 0,18","1,8",,"60,63","3,21",2004-09
71,69 STALEXP,"5,10","5,6",,"288 66 0,17",---,,"56,39","107,76",2004-09
72,70 REDAN,"2,98","26,7",,"278 63 0,16",---,,"93,10","20,88",2004-09
73,71 INDYKPOL,"3,91","12,8",,"277 63 0,16",---,,"70,70","3,12",2004-09
74,72 ELDORADO,"3,21","17,9",,"272 62 0,16","0,7",,"84,63","6,64",2004-09
75,73 NOWAGALA,"4,33","21,0",,"255 58 0,15",---,,"58,92","36,94",2004-09
76,74 RAFAKO,"1,68","876,0",,"255 58 0,15",---,,"152,02","17,40",2004-09
77,75 WISTIL,"2,65","266,7",,"252 57 0,15","1,6",,"95,19","1,00",2004-09
0,,,,,,dywidendy (%),,księgowa (mln zł),emisji (mln),2004-10
1,Shares,P/BV,P/E,,Market capitalisation at the period-end (mil),Dividend,,Book,Shares,2004-10
2,,,,,PLN EUR %,yield (%),,value (PLN mil),outstanding (mil),2004-10
3,1 TPSA,"1,52","13,0",,"22 960 5 301 13,44","0,7",,"15 072,66","1 400,00",2004-10
4,2 PEKAO,"3,07","19,9",,"21 476 4 958 12,57","3,5",,"6 990,46","166,48",2004-10
5,3 PKNORLEN,"1,58","10,5",,"15 654 3 614 9,16","1,8",,"9 894,44","427,71",2004-10
6,4 BANKBPH,"2,40","24,1",,"13 080 3 020 7,66","1,9",,"5 447,55","28,72",2004-10
7,5 HANDLOWY,"1,37","21,2",,"8 023 1 852 4,70","3,0",,"5 835,20","130,66",2004-10
8,6 KGHM,"1,45","4,4",,"6 680 1 542 3,91",---,,"4 605,78","200,00",2004-10
9,7 BZWBK,"2,27","23,0",,"6 238 1 440 3,65","0,4",,"2 742,05","72,96",2004-10
10,8 ZYWIEC,"5,04","21,3",,"5 101 1 178 2,99","4,4",,"1 011,14","11,34",2004-10
11,9 INGBSK,"1,79","31,8",,"5 074 1 171 2,97","0,2",,"2 839,21","13,01",2004-10
12,10 SWIECIE,"4,70","12,4",,"3 100 716 1,81","8,1",,"659,55","50,00",2004-10
13,11 BRE,"1,38","147,0",,"3 029 699 1,77",---,,"2 202,37","28,71",2004-10
14,12 AGORA,"2,50","472,9",,"2 679 618 1,57",---,,"1 070,16","56,76",2004-10
15,13 GTC,"1,73","145,1",,"2 384 550 1,40","1,7",,"1 377,79","19,87",2004-10
16,14 MILLENNIUM,"1,27","17,8",,"2 378 549 1,39",---,,"1 867,52","849,18",2004-10
17,15 KREDYTB,"1,80",x,,"2 336 539 1,37",---,,"1 295,91","271,66",2004-10
18,16 EFL,"2,97","30,3",,"2 235 516 1,31","1,8",,"752,85","42,97",2004-10
19,17 BORYSZEW,"9,49","25,6",,"1 907 440 1,12","0,6",,"201,05","11,92",2004-10
20,18 PROKOM,"2,56","25,4",,"1 764 407 1,03",---,,"689,09","13,89",2004-10
21,19 WARTA,"2,84","27,9",,"1 703 393 1,00",---,,"599,85","8,13",2004-10
22,20 GRAJEWO,"5,89","18,6",,"1 548 357 0,91","4,0",,"262,96","6,76",2004-10
23,21 DEBICA,"2,45","11,4",,"1 539 355 0,90","7,0",,"628,74","13,80",2004-10
24,22 CERSANIT,"4,42","15,7",,"1 522 351 0,89",---,,"344,23","13,29",2004-10
25,23 NETIA,"0,68",x,,"1 490 344 0,87",---,,"2 181,28","361,61",2004-10
26,24 KETY,"3,23","15,3",,"1 355 313 0,79","2,0",,"419,68","10,50",2004-10
27,25 BUDIMEX,"2,38","22,1",,"1 215 281 0,71",---,,"511,53","25,53",2004-10
28,26 FORTISPL,"1,87","16,4",,"1 071 247 0,63",---,,"572,26","15,08",2004-10
29,27 ORBIS,"0,87","25,5",,"1 069 247 0,63","1,5",,"1 222,37","46,08",2004-10
30,28 LPP,"5,89","31,0",,"1 018 235 0,60",---,,"172,67","1,70",2004-10
31,29 ECHO,"2,53","31,1",,"898 207 0,53",---,,"355,35","10,50",2004-10
32,30 NORDEABP,"1,71","402,3",,"840 194 0,49",---,,"490,90","33,62",2004-10
33,31 GETIN,"2,05",x,,"794 183 0,46",---,,"388,14","315,00",2004-10
34,32 NFIEMF,"1,26",x,,"793 183 0,46",---,,"631,97","109,41",2004-10
35,33 PGF,"4,46","14,9",,"759 175 0,44","3,2",,"169,98","12,24",2004-10
36,34 COMPLAND,"3,91","47,0",,"753 174 0,44",---,,"192,69","6,84",2004-10
37,35 FARMACOL,"2,52","14,4",,"725 167 0,42",---,,"287,48","23,40",2004-10
38,36 POLIMEXMS,"5,32","32,9",,"658 152 0,39","0,5",,"123,88","18,55",2004-10
39,37 GROCLIN,"3,16","14,8",,"644 149 0,38",---,,"203,48","5,50",2004-10
40,38 POLFKUTNO,"3,58","23,1",,"629 145 0,37",---,,"175,77","1,88",2004-10
41,39 BOS,"1,06","23,3",,"627 145 0,37","0,2",,"593,79","13,20",2004-10
42,40 SOKOLOW,"2,20","13,7",,"611 141 0,36",---,,"277,77","100,19",2004-10
43,41 STALPROD,"3,30","10,5",,"564 130 0,33","1,5",,"170,74","6,73",2004-10
44,42 ELEKTRIM,"1,95","1,0",,"545 126 0,32",---,,"278,75","83,77",2004-10
45,43 IMPEXMET,"1,23","23,4",,"542 125 0,32",---,,"442,14","10,63",2004-10
46,44 DUDA,"4,43","24,7",,"526 122 0,31",---,,"118,88","4,31",2004-10
47,45 SOFTBANK,"3,87","139,0",,"488 113 0,29",---,,"126,15","20,95",2004-10
48,46 PBG,"3,75","26,5",,"479 111 0,28",---,,"127,65","10,53",2004-10
49,47 FORTWRO,"1,10","42,3",,"471 109 0,28","1,1",,"426,77","50,60",2004-10
50,48 INTERCARS,"5,45","28,9",,"463 107 0,27","0,4",,"84,96","11,82",2004-10
51,49 DZPOLSKA,"2,17","108,6",,"459 106 0,27",---,,"211,23","41,00",2004-10
52,50 COMARCH,"4,07","29,8",,"443 102 0,26",---,,"108,87","6,85",2004-10
53,51 KOGENERA,"0,69","20,9",,"431 99 0,25","1,9",,"625,10","14,90",2004-10
54,52 POLIFARBC,"1,17","24,2",,"420 97 0,25","1,6",,"357,35","45,36",2004-10
55,53 KRUSZWICA,"2,46","14,6",,"414 96 0,24",---,,"168,07","12,94",2004-10
56,54 SANOK,"3,79","10,1",,"409 94 0,24",---,,"107,81","2,55",2004-10
57,55 MENNICA,"1,58","16,8",,"405 94 0,24","1,6",,"257,24","6,57",2004-10
58,56 SNIEZKA,"3,13","18,6",,"393 91 0,23","1,3",,"125,71","14,20",2004-10
59,57 JELFA,"1,13","20,3",,"381 88 0,22","4,5",,"335,68","6,80",2004-10
60,58 ASSECOPOL,"12,21","35,8",,"359 83 0,21","1,4",,"29,40","3,45",2004-10
61,59 GRUPAONET,"6,53","18,1",,"355 82 0,21",---,,"54,28","6,88",2004-10
62,60 EMAX,"4,64","36,6",,"334 77 0,20",---,,"71,92","3,39",2004-10
63,61 FORTE,"1,72","14,3",,"332 77 0,19",---,,"192,60","23,68",2004-10
64,62 KROSNO,"2,69","19,3",,"327 76 0,19","1,9",,"121,58","2,53",2004-10
65,63 PROVIMROL,"3,17","14,3",,"313 72 0,18",---,,"98,76","19,96",2004-10
66,64 STALPROFI,"3,46","6,7",,"308 71 0,18","1,4",,"89,14","1,75",2004-10
67,65 APATOR,"4,94","14,0",,"300 69 0,18","1,8",,"60,63","3,21",2004-10
68,66 DBPBC,"1,60",x,,"293 68 0,17",---,,"183,05","185,70",2004-10
69,67 TUEUROPA,"3,81","27,8",,"291 67 0,17",---,,"76,30","7,88",2004-10
70,68 STALEXP,"5,12","5,7",,"288 66 0,17",---,,"56,16","107,76",2004-10
71,69 REDAN,"3,07","27,5",,"286 66 0,17",---,,"93,10","20,88",2004-10
72,70 AMICA,"1,16","11,5",,"284 66 0,17",---,,"244,61","8,74",2004-10
73,71 ELDORADO,"3,25","18,1",,"275 64 0,16","0,7",,"84,62","6,64",2004-10
74,72 INDYKPOL,"3,82","12,6",,"270 62 0,16",---,,"70,70","3,12",2004-10
75,73 NOWAGALA,"4,55","22,0",,"268 62 0,16",---,,"58,92","36,94",2004-10
76,74 JCAUTO,"2,53","14,4",,"242 56 0,14",---,,"95,75","7,50",2004-10
77,75 WISTIL,"2,52","254,0",,"240 55 0,14","1,7",,"95,19","1,00",2004-10
0,,,,,,dywidendy (%),,księgowa (mln zł),emisji (mln),2004-11
1,Shares,P/BV,P/E,,Market capitalisation at the period-end (mil),Dividend,,Book,Shares,2004-11
2,,,,,PLN EUR %,yield (%),,value (PLN mil),outstanding (mil),2004-11
3,1 PKOBP,"3,26","17,2",,"25 000 5 931 12,68",---,,"7 665,45","1 000,00",2004-11
4,2 TPSA,"1,59","13,6",,"24 010 5 696 12,18","0,7",,"15 072,66","1 400,00",2004-11
5,3 PEKAO,"2,83","18,1",,"21 060 4 996 10,68","3,5",,"7 443,58","166,48",2004-11
6,4 PKNORLEN,"1,49","7,6",,"15 996 3 795 8,11","1,7",,"10 765,17","427,71",2004-11
7,5 BANKBPH,"2,29","20,1",,"12 922 3 066 6,56","1,9",,"5 652,84","28,72",2004-11
8,6 HANDLOWY,"1,31","22,6",,"7 853 1 863 3,98","3,1",,"6 002,14","130,66",2004-11
9,7 KGHM,"1,29","3,9",,"6 400 1 518 3,25",---,,"4 966,57","200,00",2004-11
10,8 BZWBK,"2,22","19,3",,"6 369 1 511 3,23","0,4",,"2 866,43","72,96",2004-11
11,9 ZYWIEC,"4,50","19,9",,"5 101 1 210 2,59","4,4",,"1 134,33","11,34",2004-11
12,10 INGBSK,"1,66","22,5",,"4 918 1 167 2,49","0,2",,"2 956,49","13,01",2004-11
13,11 BRE,"1,46","87,0",,"3 288 780 1,67",---,,"2 245,46","28,71",2004-11
14,12 AGORA,"2,71","104,8",,"2 940 698 1,49",---,,"1 086,61","56,76",2004-11
15,13 SWIECIE,"4,31","11,3",,"2 840 674 1,44","8,8",,"659,55","50,00",2004-11
16,14 MILLENNIUM,"1,42","19,9",,"2 658 631 1,35",---,,"1 867,52","849,18",2004-11
17,15 BORYSZEW,"11,74","32,6",,"2 527 600 1,28","0,5",,"215,19","119,21",2004-11
18,16 EFL,"3,04","35,9",,"2 355 559 1,19","1,7",,"775,55","42,97",2004-11
19,17 KREDYTB,"1,65",x,,"2 309 548 1,17",---,,"1 397,65","271,66",2004-11
20,18 GTC,"1,65","61,6",,"2 285 542 1,16","1,8",,"1 382,70","19,87",2004-11
21,19 PROKOM,"2,58","31,9",,"1 764 419 0,89",---,,"684,85","13,89",2004-11
22,20 WARTA,"2,66","21,9",,"1 703 404 0,86",---,,"639,72","8,13",2004-11
23,21 NETIA,"0,72","7,7",,"1 594 378 0,81",---,,"2 224,50","362,18",2004-11
24,22 CERSANIT,"3,87","14,0",,"1 462 347 0,74",---,,"377,74","13,29",2004-11
25,23 GRAJEWO,"3,13","17,4",,"1 460 346 0,74","4,2",,"466,19","6,76",2004-11
26,24 KETY,"3,30","15,6",,"1 386 329 0,70","1,9",,"419,68","10,50",2004-11
27,25 DEBICA,"2,14","10,9",,"1 380 327 0,70","7,8",,"646,17","13,80",2004-11
28,26 ORBIS,"0,87","21,5",,"1 101 261 0,56","1,4",,"1 265,37","46,08",2004-11
29,27 BUDIMEX,"2,12","294,1",,"1 090 259 0,55",---,,"514,58","25,53",2004-11
30,28 FORTISPL,"1,87","16,4",,"1 071 254 0,54",---,,"572,26","15,08",2004-11
31,29 LPP,"5,10","27,8",,"922 219 0,47",---,,"180,82","1,70",2004-11
32,30 ECHO,"2,48","29,9",,"903 214 0,46",---,,"363,91","10,50",2004-11
33,31 NORDEABP,"1,71","49,5",,"840 199 0,43",---,,"491,32","33,62",2004-11
34,32 GETIN,"2,08",x,,"806 191 0,41",---,,"387,40","315,00",2004-11
35,33 COMPLAND,"3,64","40,5",,"721 171 0,37",---,,"197,71","6,86",2004-11
36,34 PGF,"4,04","16,4",,"719 171 0,36","3,4",,"178,17","12,24",2004-11
37,35 NFIEMF,"1,15",x,,"706 167 0,36",---,,"612,43","109,41",2004-11
38,36 DUDA,"5,53","30,8",,"687 163 0,35",---,,"124,27","4,77",2004-11
39,37 POLIMEXMS,"3,93","21,4",,"675 160 0,34","0,5",,"171,71","18,55",2004-11
40,38 FARMACOL,"2,21","11,9",,"662 157 0,34",---,,"299,51","23,40",2004-11
41,39 BOS,"1,04","23,0",,"620 147 0,31","0,2",,"593,79","13,20",2004-11
42,40 POLFKUTNO,"3,38","26,7",,"614 146 0,31",---,,"181,69","1,88",2004-11
43,41 GROCLIN,"2,92","14,3",,"611 145 0,31",---,,"209,36","5,50",2004-11
44,42 SOKOLOW,"1,86","13,2",,"556 132 0,28",---,,"298,72","100,19",2004-11
45,43 SOFTBANK,"3,87","26,2",,"536 127 0,27",---,,"138,46","20,95",2004-11
46,44 STALPROD,"2,87","8,2",,"536 127 0,27","1,6",,"186,95","6,73",2004-11
47,45 IMPEXMET,"1,17","20,5",,"530 126 0,27",---,,"454,11","10,63",2004-11
48,46 DZPOLSKA,"2,51","194,8",,"529 125 0,27",---,,"211,03","41,00",2004-11
49,47 MENNICA,"1,85","16,9",,"483 115 0,24","1,4",,"260,52","6,57",2004-11
50,48 FORTWRO,"1,14","46,8",,"476 113 0,24","1,1",,"418,91","50,60",2004-11
51,49 PBG,"3,52","30,9",,"474 112 0,24",---,,"134,62","10,53",2004-11
52,50 COMARCH,"4,24","27,1",,"474 112 0,24",---,,"111,58","6,85",2004-11
53,51 ELEKTRIM,"1,46","0,7",,"461 109 0,23",---,,"314,91","83,77",2004-11
54,52 KRUSZWICA,"2,41","12,3",,"440 104 0,22",---,,"182,73","12,94",2004-11
55,53 INTERCARS,"4,82","25,0",,"427 101 0,22","0,5",,"88,55","11,82",2004-11
56,54 KOGENERA,"0,69","19,2",,"414 98 0,21","2,0",,"597,92","14,90",2004-11
57,55 SNIEZKA,"2,81","13,5",,"398 94 0,20","1,3",,"141,46","14,20",2004-11
58,56 SANOK,"3,27","9,0",,"390 92 0,20",---,,"119,10","2,55",2004-11
59,57 JELFA,"1,09","27,8",,"362 86 0,18","4,7",,"333,35","6,80",2004-11
60,58 ASSECOPOL,"11,20","36,6",,"354 84 0,18","1,4",,"31,58","3,45",2004-11
61,59 POLIFARBC,"0,96","35,0",,"349 83 0,18","1,9",,"364,45","45,36",2004-11
62,60 GRUPAONET,"6,30","14,6",,"346 82 0,18",---,,"54,87","6,88",2004-11
63,61 KROSNO,"2,46","17,7",,"326 77 0,17","1,9",,"132,51","2,53",2004-11
64,62 APATOR,"4,03","8,7",,"311 74 0,16","1,8",,"77,15","3,21",2004-11
65,63 AMICA,"1,11","8,3",,"306 73 0,16",---,,"275,81","8,74",2004-11
66,64 EMAX,"4,31","37,2",,"305 72 0,15",---,,"70,73","3,39",2004-11
67,65 PROVIMROL,"2,75","11,0",,"299 71 0,15",---,,"109,07","19,96",2004-11
68,66 FORTE,"1,50","12,0",,"298 71 0,15",---,,"198,59","23,68",2004-11
69,67 WSIP,"1,40","8,6",,"292 69 0,15","1,5",,"208,96","31,25",2004-11
70,68 REDAN,"2,93","19,7",,"291 69 0,15",---,,"99,28","20,88",2004-11
71,69 DBPBC,"1,59",x,,"288 68 0,15",---,,"181,60","185,70",2004-11
72,70 STALEXP,"3,88","4,7",,"288 68 0,15",---,,"74,19","107,76",2004-11
73,71 STALPROFI,"2,91","6,2",,"286 68 0,15","1,5",,"98,46","1,75",2004-11
