,Spółki krajowe według kapitalizacji (na koniec miesiąca) / Domestic shares by market capitalization (eop),Spółki krajowe według kapitalizacji (na koniec okresu) / Domestic shares by market capitalization (eop),Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,okres
57,,"52 TUEUROPA 7,88 1 024 241 0,29 328,60","8,80","3,12","3,8",,2009-10
58,,"53 AMREST 14,19 1 007 237 0,28 413,97","41,40","2,43","0,0",,2009-10
59,,"54 KOFOLA 26,17 995 234 0,28 519,82","550,10","1,91","1,7",,2009-10
60,,"55 INTERCARS 13,88 993 234 0,28 460,23","25,90","2,16","0,0",,2009-10
61,,"56 EMPERIA 15,12 992 234 0,28 767,64","18,00","1,29","0,9",,2009-10
62,,"57 KETY 9,23 978 230 0,28 783,97","17,40","1,25","0,0",,2009-10
63,,"58 FARMACOL 23,40 971 229 0,27 630,00","14,50","1,54","0,0",,2009-10
64,,"59 NORDEABP 45,52 958 226 0,27 1 110,61","7,80","0,86","0,0",,2009-10
65,,"60 FAMUR 481,50 949 224 0,27 701,96","17,90","1,35","0,0",,2009-10
0,,Wielkość Kapitalizacja na koniec okresu Wartość,,,Stopa,,2009-11
1,,emisji Market capitalization księgowa,,,dywidendy,,2009-11
2,,Lp. Nazwa (mln) (mln zł),C/Z,C/WK,(%),,2009-11
3,,No Security Shares mln zł mln EUR (%) Book,P/E,P/BV,Dividend,,2009-11
4,,name outstanding PLN mil. EUR mil. (%) value,,,yield,,2009-11
5,,(mil.) (PLN mil.),,,(%),,2009-11
6,,"1 PEKAO 262,33 46 170 11 144 12,69 17 729,31","18,30","2,60","0,0",,2009-11
7,,"2 PKOBP 1 000,00 37 600 9 075 10,34 14 814,14","17,30","2,54","2,7",,2009-11
8,,"3 PGNIG 5 900,00 22 243 5 369 6,11 20 140,83","0,00","1,10","2,4",,2009-11
9,,"4 KGHM 200,00 21 560 5 204 5,93 9 945,46","10,70","2,17","10,8",,2009-11
10,,"5 TPSA 1 335,65 21 531 5 197 5,92 16 315,00","17,80","1,32","9,3",,2009-11
11,,"6 PKNORLEN 427,71 13 302 3 211 3,66 21 923,72","0,00","0,61","0,0",,2009-11
12,,"7 BZWBK 73,08 11 911 2 875 3,27 5 790,83","16,20","2,06","0,0",,2009-11
13,,"8 INGBSK 13,01 9 478 2 288 2,61 4 744,50","27,50","2,00","0,0",,2009-11
14,,"9 HANDLOWY 130,66 8 957 2 162 2,46 6 124,25","20,50","1,46","0,0",,2009-11
15,,"10 ENEA 441,44 8 078 1 950 2,22 9 307,56","15,40","0,87","2,5",,2009-11
16,,"11 BRE 29,69 6 829 1 648 1,88 4 189,64","54,50","1,63","0,0",,2009-11
17,,"12 GETIN 710,93 5 687 1 373 1,56 3 990,84","16,20","1,43","0,0",,2009-11
18,,"13 GTC 219,37 5 221 1 260 1,44 4 650,12","98,90","1,12","0,0",,2009-11
19,,"14 ZYWIEC 10,27 4 920 1 188 1,35 622,34","15,30","7,91","7,9",,2009-11
20,,"15 ASSECOPOL 77,57 4 460 1 076 1,23 4 266,64","10,20","1,05","1,6",,2009-11
21,,"16 STALPROD 6,73 4 304 1 039 1,18 1 291,48","14,20","3,33","1,2",,2009-11
22,,"17 TVN 340,44 4 242 1 024 1,17 1 257,38","18,50","3,37","4,6",,2009-11
23,,"18 LOTOS 129,87 4 148 1 001 1,14 6 489,76","0,00","0,64","0,0",,2009-11
24,,"19 FORTISPL 24,12 4 079 985 1,12 1 522,55","0,00","2,68","0,0",,2009-11
25,,"20 MILLENNIUM 849,18 3 821 922 1,05 2 704,30","0,00","1,41","0,0",,2009-11
26,,"21 CYFRPLSAT 268,33 3 703 894 1,02 280,97","16,00","13,18","5,4",,2009-11
27,,"22 SWIECIE 50,00 3 563 860 0,98 1 148,61","59,40","3,10","0,0",,2009-11
28,,"23 PBG 14,30 3 106 750 0,85 1 516,96","14,70","2,05","0,0",,2009-11
29,,"24 KREDYTB 271,66 3 070 741 0,84 2 579,41","38,80","1,19","0,0",,2009-11
30,,"25 LPP 1,75 2 678 646 0,74 601,81","27,70","4,45","0,0",,2009-11
31,,"26 BOGDANKA 34,01 2 412 582 0,66 1 722,35","11,80","1,40","3,7",,2009-11
32,,"27 CERSANIT 144,26 2 258 545 0,62 1 016,21","0,00","2,22","0,0",,2009-11
33,,"28 BANKBPH 28,72 2 099 507 0,58 1 672,17","0,00","1,26","0,0",,2009-11
34,,"29 BUDIMEX 25,53 2 037 492 0,56 612,96","13,50","3,32","7,3",,2009-11
35,,"30 EUROCASH 134,37 1 995 482 0,55 325,02","21,50","6,14","2,0",,2009-11
36,,"31 ORBIS 46,08 1 898 458 0,52 1 803,33","0,00","1,05","0,0",,2009-11
37,,"32 ECHO 420,00 1 785 431 0,49 1 720,28","15,60","1,04","0,0",,2009-11
38,,"33 CCC 38,40 1 740 420 0,48 303,08","23,50","5,74","2,2",,2009-11
39,,"34 KOPEX 67,63 1 738 420 0,48 2 185,13","20,80","0,80","0,0",,2009-11
40,,"35 POLIMEXMS 464,36 1 718 415 0,47 1 330,72","11,00","1,29","0,3",,2009-11
41,,"36 NETIA 389,28 1 713 413 0,47 1 920,87","0,00","0,89","0,0",,2009-11
42,,"37 SYNTHOS 1 323,25 1 561 377 0,43 1 648,38","17,40","0,95","0,0",,2009-11
43,,"38 NFIEMF 103,73 1 556 376 0,43 446,86","16,00","3,48","0,0",,2009-11
44,,"39 ALCHEMIA 224,98 1 505 363 0,41 522,20","0,00","2,88","0,0",,2009-11
45,,"40 PULAWY 19,12 1 376 332 0,38 1 734,18","210,10","0,79","6,0",,2009-11
46,,"41 DZPOLSKA 63,79 1 375 332 0,38 333,18","129,70","4,13","0,9",,2009-11
47,,"42 MOSTALWAR 20,00 1 349 326 0,37 508,52","13,10","2,65","0,0",,2009-11
48,,"43 KRUSZWICA 22,99 1 345 325 0,37 631,54","10,70","2,13","5,1",,2009-11
49,,"44 EMPERIA 15,12 1 238 299 0,34 788,24","17,60","1,57","0,7",,2009-11
50,,"45 AGORA 54,98 1 237 299 0,34 1 177,96","0,00","1,05","0,0",,2009-11
51,,"46 BOS 15,05 1 224 295 0,34 908,50","0,00","1,35","0,0",,2009-11
52,,"47 KOGENERA 14,90 1 143 276 0,31 878,09","8,10","1,30","2,7",,2009-11
53,,"48 DOMDEV 24,56 1 127 272 0,31 736,13","15,80","1,53","1,7",,2009-11
54,,"49 MMPPL 153,19 1 105 267 0,30 609,56","22,60","1,81","0,0",,2009-11
55,,"50 BIOTON 4 695,38 1 080 261 0,30 1 480,92","0,00","0,73","0,0",,2009-11
56,,"51 CIECH 28,00 1 064 257 0,29 949,94","0,00","1,12","0,0",,2009-11
57,,"52 KOFOLA 26,17 1 060 256 0,29 563,97","24,50","1,88","1,6",,2009-11
58,,"53 INTERCARS 13,88 1 054 255 0,29 483,95","20,50","2,18","0,0",,2009-11
59,,"54 NORDEABP 45,52 1 047 253 0,29 1 158,22","7,70","0,90","0,0",,2009-11
60,,"55 KETY 9,23 1 043 252 0,29 783,97","18,50","1,33","0,0",,2009-11
61,,"56 TUEUROPA 7,88 1 040 251 0,29 362,39","8,60","2,87","3,8",,2009-11
62,,"57 AMREST 14,19 999 241 0,27 389,56","55,70","2,57","0,0",,2009-11
63,,"58 FAMUR 481,50 997 241 0,27 726,40","17,20","1,37","0,0",,2009-11
64,,"59 FARMACOL 23,40 959 232 0,26 649,90","13,80","1,48","0,0",,2009-11
65,,"60 NOBLEBANK 215,18 951 230 0,26 754,48","6,10","1,26","4,8",,2009-11
0,,Wielkość Kapitalizacja na koniec okresu Wartość,,,Stopa,,2009-12
1,,emisji Market capitalization księgowa,,,dywidendy,,2009-12
2,,Lp. Nazwa (mln) (mln zł),C/Z,C/WK,(%),,2009-12
3,,No Security Shares mln zł mln EUR (%) Book,P/E,P/BV,Dividend,,2009-12
4,,name outstanding PLN mil. EUR mil. (%) value,,,yield,,2009-12
5,,(mil.) (PLN mil.),,,(%),,2009-12
6,,"1 PKOBP 1 250,00 47 500 11 562 11,25 14 814,14","21,90","3,21","2,1",,2009-12
7,,"2 PEKAO 262,33 42 419 10 325 10,04 17 729,31","16,80","2,39","0,0",,2009-12
8,,"3 PGE 1 730,09 42 387 10 318 10,04 32 136,02","10,40","1,32","2,2",,2009-12
9,,"4 PGNIG 5 900,00 22 361 5 443 5,29 20 140,83","0,00","1,11","2,4",,2009-12
10,,"5 KGHM 200,00 21 200 5 160 5,02 9 945,46","10,50","2,13","11,0",,2009-12
11,,"6 TPSA 1 335,65 21 197 5 160 5,02 16 315,00","17,50","1,30","9,5",,2009-12
12,,"7 PKNORLEN 427,71 14 521 3 535 3,44 21 923,72","0,00","0,66","0,0",,2009-12
13,,"8 BZWBK 73,08 13 884 3 380 3,29 5 790,83","18,90","2,40","0,0",,2009-12
14,,"9 INGBSK 13,01 10 148 2 470 2,40 4 744,50","29,40","2,14","0,0",,2009-12
15,,"10 ENEA 441,44 9 447 2 300 2,24 9 307,56","18,00","1,01","2,1",,2009-12
16,,"11 HANDLOWY 130,66 9 146 2 226 2,17 6 124,25","20,90","1,49","0,0",,2009-12
17,,"12 BRE 29,69 7 720 1 879 1,83 4 189,64","61,60","1,84","0,0",,2009-12
18,,"13 GETIN 712,42 6 312 1 536 1,49 3 990,84","18,00","1,58","0,0",,2009-12
19,,"14 GTC 219,37 5 627 1 370 1,33 4 650,12","106,60","1,21","0,0",,2009-12
20,,"15 ZYWIEC 10,27 4 930 1 200 1,17 622,34","15,40","7,92","7,9",,2009-12
21,,"16 ASSECOPOL 77,57 4 883 1 189 1,16 4 266,64","11,20","1,14","1,4",,2009-12
22,,"17 TVN 340,44 4 865 1 184 1,15 1 257,38","21,30","3,87","4,0",,2009-12
23,,"18 LOTOS 129,87 4 130 1 005 0,98 6 489,76","0,00","0,64","0,0",,2009-12
24,,"19 MILLENNIUM 849,18 4 076 992 0,97 2 704,30","0,00","1,51","0,0",,2009-12
25,,"20 STALPROD 6,73 3 995 972 0,95 1 291,48","13,10","3,09","1,3",,2009-12
26,,"21 FORTISPL 24,12 3 968 966 0,94 1 522,55","0,00","2,61","0,0",,2009-12
27,,"22 SWIECIE 50,00 3 813 928 0,90 1 148,61","63,60","3,32","0,0",,2009-12
28,,"23 CYFRPLSAT 268,33 3 649 888 0,86 280,97","15,80","12,99","5,5",,2009-12
29,,"24 KREDYTB 271,66 3 219 784 0,76 2 579,41","40,70","1,25","0,0",,2009-12
30,,"25 PBG 14,30 2 905 707 0,69 1 516,96","13,70","1,91","0,0",,2009-12
31,,"26 LPP 1,75 2 783 677 0,66 601,81","28,80","4,62","0,0",,2009-12
32,,"27 BOGDANKA 34,01 2 415 588 0,57 1 722,35","11,80","1,40","3,7",,2009-12
33,,"28 BANKBPH 28,72 2 412 587 0,57 1 672,17","0,00","1,44","0,0",,2009-12
34,,"29 CERSANIT 144,26 2 373 578 0,56 1 016,21","0,00","2,34","0,0",,2009-12
35,,"30 EUROCASH 134,70 2 101 512 0,50 325,02","22,60","6,47","1,9",,2009-12
36,,"31 ORBIS 46,08 2 044 498 0,48 1 803,33","0,00","1,13","0,0",,2009-12
37,,"32 KOPEX 74,33 1 932 470 0,46 2 185,13","23,10","0,88","0,0",,2009-12
38,,"33 NETIA 389,28 1 907 464 0,45 1 920,87","0,00","0,99","0,0",,2009-12
39,,"34 CCC 38,40 1 866 454 0,44 303,08","25,20","6,16","2,1",,2009-12
40,,"35 BUDIMEX 25,53 1 864 454 0,44 612,96","12,30","3,04","8,0",,2009-12
41,,"36 POLIMEXMS 464,36 1 843 449 0,44 1 330,72","11,80","1,39","0,3",,2009-12
42,,"37 DZPOLSKA 63,79 1 772 431 0,42 333,18","167,10","5,32","0,7",,2009-12
43,,"38 ECHO 420,00 1 751 426 0,41 1 720,28","15,30","1,02","0,0",,2009-12
44,,"39 SYNTHOS 1 323,25 1 535 374 0,36 1 648,38","17,10","0,93","0,0",,2009-12
45,,"40 NFIEMF 103,73 1 504 366 0,36 446,86","15,50","3,37","0,0",,2009-12
46,,"41 PULAWY 19,12 1 491 363 0,35 1 734,18","227,60","0,86","5,5",,2009-12
47,,"42 ALCHEMIA 224,98 1 417 345 0,34 522,20","0,00","2,71","0,0",,2009-12
48,,"43 KRUSZWICA 22,99 1 373 334 0,33 631,54","10,90","2,17","5,0",,2009-12
49,,"44 NORDEABP 45,52 1 320 321 0,31 1 158,22","9,70","1,14","0,0",,2009-12
50,,"45 EMPERIA 15,12 1 232 300 0,29 788,24","17,50","1,56","0,7",,2009-12
51,,"46 BOS 15,05 1 228 299 0,29 908,50","0,00","1,35","0,0",,2009-12
52,,"47 MOSTALWAR 20,00 1 218 296 0,29 508,52","11,80","2,40","0,0",,2009-12
53,,"48 BIOTON 5 290,38 1 217 296 0,29 1 480,92","0,00","0,82","0,0",,2009-12
54,,"49 KOGENERA 14,90 1 171 285 0,28 878,09","8,30","1,33","2,6",,2009-12
55,,"50 AMREST 14,19 1 163 283 0,28 389,56","64,90","2,99","0,0",,2009-12
56,,"51 AGORA 50,94 1 143 278 0,27 1 177,96","0,00","0,97","0,0",,2009-12
57,,"52 INTERCARS 14,17 1 133 276 0,27 483,95","22,00","2,34","0,0",,2009-12
58,,"53 KETY 9,23 1 117 272 0,26 783,97","19,90","1,43","0,0",,2009-12
59,,"54 GETINOBLE 215,18 1 097 267 0,26 754,48","7,10","1,45","4,1",,2009-12
60,,"55 MMPPL 153,19 1 072 261 0,25 609,56","22,00","1,76","0,0",,2009-12
61,,"56 DOMDEV 24,56 1 067 260 0,25 736,13","15,00","1,45","1,8",,2009-12
62,,"57 CIECH 28,00 1 042 254 0,25 949,94","0,00","1,10","0,0",,2009-12
63,,"58 KOFOLA 26,17 1 042 254 0,25 563,97","24,00","1,85","1,6",,2009-12
64,,"59 FAMUR 481,50 1 035 252 0,25 726,40","17,90","1,43","0,0",,2009-12
65,,"60 TUEUROPA 7,88 984 240 0,23 362,39","8,10","2,72","4,0",,2009-12
66,,"61 MENNICA 6,57 926 225 0,22 419,14","9,90","2,21","3,5",,2009-12
0,,Wielkość Kapitalizacja na koniec okresu Wartość,,,Stopa,,2010-01
1,,emisji Market capitalization księgowa,,,dywidendy,,2010-01
2,,Lp. Nazwa (mln) (mln zł),C/Z,C/WK,(%),,2010-01
3,,No Security Shares mln zł mln EUR (%) Book,P/E,P/BV,Dividend,,2010-01
4,,name outstanding PLN mil. EUR mil. (%) value,,,yield,,2010-01
5,,(mil.) (PLN mil.),,,(%),,2010-01
6,,"1 PKOBP 1 250,00 49 063 12 080 11,45 14 814,14","22,70","3,31","2,0",,2010-01
7,,"2 PEKAO 262,33 44 859 11 045 10,47 17 729,31","17,80","2,53","0,0",,2010-01
8,,"3 PGE 1 730,09 40 830 10 053 9,53 32 136,02","13,50","1,27","2,3",,2010-01
9,,"4 PGNIG 5 900,00 22 479 5 535 5,25 20 140,83","0,00","1,12","2,4",,2010-01
10,,"5 TPSA 1 335,65 21 704 5 344 5,07 16 315,00","18,00","1,33","9,2",,2010-01
11,,"6 KGHM 200,00 19 400 4 776 4,53 9 945,46","9,60","1,95","12,0",,2010-01
12,,"7 PKNORLEN 427,71 14 435 3 554 3,37 21 923,72","0,00","0,66","0,0",,2010-01
13,,"8 BZWBK 73,08 13 044 3 212 3,05 5 790,83","19,10","2,25","0,0",,2010-01
14,,"9 HANDLOWY 130,66 9 852 2 426 2,30 6 124,25","22,50","1,61","0,0",,2010-01
15,,"10 INGBSK 13,01 9 133 2 249 2,13 4 744,50","26,40","1,92","0,0",,2010-01
16,,"11 ENEA 441,44 8 330 2 051 1,94 9 307,56","15,80","0,89","2,4",,2010-01
17,,"12 BRE 29,69 7 672 1 889 1,79 4 189,64","62,20","1,83","0,0",,2010-01
18,,"13 GETIN 712,42 6 554 1 614 1,53 3 990,84","22,20","1,64","0,0",,2010-01
19,,"14 BANKBPH 76,67 6 202 1 527 1,45 1 672,17","0,00","3,71","0,0",,2010-01
20,,"15 GTC 219,37 5 265 1 296 1,23 4 650,12","0,00","1,13","0,0",,2010-01
21,,"16 GETINOBLE 953,76 5 026 1 238 1,17 754,48","33,10","6,66","0,9",,2010-01
22,,"17 ZYWIEC 10,27 4 941 1 216 1,15 622,34","15,40","7,94","7,9",,2010-01
23,,"18 TVN 340,44 4 766 1 173 1,11 1 257,38","17,90","3,79","4,1",,2010-01
24,,"19 ASSECOPOL 77,57 4 693 1 155 1,10 4 266,64","12,60","1,10","1,5",,2010-01
25,,"20 CYFRPLSAT 268,33 4 049 997 0,95 280,97","17,50","14,41","5,0",,2010-01
26,,"21 FORTISPL 24,12 3 860 950 0,90 1 522,55","0,00","2,54","0,0",,2010-01
27,,"22 KREDYTB 271,66 3 762 926 0,88 2 579,41","47,60","1,46","0,0",,2010-01
28,,"23 SWIECIE 50,00 3 700 911 0,86 1 148,61","61,70","3,22","0,0",,2010-01
29,,"24 LOTOS 129,87 3 643 897 0,85 6 489,76","0,00","0,56","0,0",,2010-01
30,,"25 MILLENNIUM 849,18 3 626 893 0,85 2 704,30","0,00","1,34","0,0",,2010-01
31,,"26 STALPROD 6,73 3 251 800 0,76 1 291,48","10,60","2,52","1,6",,2010-01
32,,"27 LPP 1,75 3 087 760 0,72 601,81","32,00","5,13","0,0",,2010-01
33,,"28 PBG 14,30 3 061 754 0,71 1 516,96","16,70","2,02","0,0",,2010-01
34,,"29 BOGDANKA 34,01 2 617 644 0,61 1 722,35","12,80","1,52","3,4",,2010-01
35,,"30 EUROCASH 134,81 2 323 572 0,54 325,02","25,00","7,15","1,7",,2010-01
36,,"31 CCC 38,40 2 035 501 0,48 303,08","27,50","6,72","1,9",,2010-01
37,,"32 CERSANIT 144,26 2 031 500 0,47 1 016,21","0,00","2,00","0,0",,2010-01
38,,"33 POLIMEXMS 464,36 1 987 489 0,46 1 330,72","14,80","1,49","0,2",,2010-01
39,,"34 BUDIMEX 25,53 1 889 465 0,44 612,96","12,50","3,08","7,9",,2010-01
40,,"35 KOPEX 74,33 1 858 458 0,43 2 185,13","19,00","0,85","0,0",,2010-01
41,,"36 NETIA 389,28 1 791 441 0,42 1 920,87","0,00","0,93","0,0",,2010-01
42,,"37 ORBIS 46,08 1 668 411 0,39 1 803,33","0,00","0,92","0,0",,2010-01
43,,"38 SYNTHOS 1 323,25 1 667 411 0,39 1 648,38","18,60","1,01","0,0",,2010-01
44,,"39 ECHO 420,00 1 630 401 0,38 1 720,28","14,20","0,95","0,0",,2010-01
45,,"40 PULAWY 19,12 1 501 369 0,35 1 734,18","229,10","0,87","5,5",,2010-01
46,,"41 ALCHEMIA 224,98 1 471 362 0,34 522,20","0,00","2,82","0,0",,2010-01
47,,"42 KRUSZWICA 22,99 1 468 361 0,34 631,54","11,70","2,32","4,7",,2010-01
48,,"43 DZPOLSKA 63,79 1 458 359 0,34 333,18","137,50","4,37","0,8",,2010-01
49,,"44 NORDEABP 45,52 1 457 359 0,34 1 158,22","10,70","1,26","0,0",,2010-01
50,,"45 NFIEMF 103,73 1 452 358 0,34 446,86","15,60","3,25","0,0",,2010-01
51,,"46 FAMUR 481,50 1 295 319 0,30 726,40","22,60","1,78","0,0",,2010-01
52,,"47 EMPERIA 15,12 1 285 316 0,30 788,24","18,30","1,63","0,7",,2010-01
53,,"48 KOGENERA 14,90 1 275 314 0,30 878,09","9,60","1,45","2,4",,2010-01
54,,"49 MOSTALWAR 20,00 1 266 312 0,30 508,52","14,40","2,49","0,0",,2010-01
55,,"50 BOS 15,05 1 159 285 0,27 908,50","0,00","1,28","0,0",,2010-01
56,,"51 INTERCARS 14,17 1 126 277 0,26 483,95","21,20","2,33","0,0",,2010-01
57,,"52 MMPPL 153,19 1 103 272 0,26 609,56","22,60","1,81","0,0",,2010-01
58,,"53 AMREST 14,19 1 092 269 0,26 389,56","56,80","2,80","0,0",,2010-01
59,,"54 KETY 9,23 1 061 261 0,25 783,97","18,90","1,35","0,0",,2010-01
60,,"55 AGORA 50,94 1 060 261 0,25 1 177,96","0,00","0,90","0,0",,2010-01
61,,"56 BIOTON 5 290,38 1 058 261 0,25 1 480,92","0,00","0,71","0,0",,2010-01
62,,"57 DOMDEV 24,56 1 053 259 0,25 736,13","14,80","1,43","1,9",,2010-01
63,,"58 KOFOLA 26,17 1 052 259 0,25 563,97","29,00","1,87","1,6",,2010-01
64,,"59 TUEUROPA 7,88 984 242 0,23 362,39","8,10","2,72","4,0",,2010-01
65,,"60 FARMACOL 23,40 971 239 0,23 649,90","13,70","1,49","0,0",,2010-01
0,,Wielkość Kapitalizacja na koniec okresu Wartość,,,Stopa,,2010-02
1,,emisji Market capitalization księgowa,,,dywidendy,,2010-02
2,,Lp. Nazwa (mln) (mln zł),C/Z,C/WK,(%),,2010-02
3,,No Security Shares mln zł mln EUR (%) Book,P/E,P/BV,Dividend,,2010-02
4,,name outstanding PLN mil. EUR mil. (%) value,,,yield,,2010-02
5,,(mil.) (PLN mil.),,,(%),,2010-02
6,,"1 PKOBP 1 250,00 45 950 11 555 11,17 14 814,14","21,30","3,10","2,2",,2010-02
7,,"2 PEKAO 262,33 41 291 10 383 10,04 17 729,31","16,40","2,33","0,0",,2010-02
8,,"3 PGE 1 730,09 37 889 9 528 9,21 32 136,02","12,50","1,18","2,5",,2010-02
9,,"4 PGNIG 5 900,00 20 945 5 267 5,09 20 140,83","0,00","1,04","2,5",,2010-02
10,,"5 TPSA 1 335,65 20 676 5 199 5,03 16 593,00","16,20","1,25","9,7",,2010-02
11,,"6 KGHM 200,00 19 280 4 848 4,69 9 945,46","9,60","1,94","12,1",,2010-02
12,,"7 PKNORLEN 427,71 14 003 3 521 3,40 21 707,21","10,70","0,65","0,0",,2010-02
13,,"8 BZWBK 73,08 12 788 3 216 3,11 5 790,83","18,80","2,21","0,0",,2010-02
14,,"9 HANDLOWY 130,66 9 538 2 398 2,32 6 124,25","21,80","1,56","0,0",,2010-02
15,,"10 INGBSK 13,01 8 535 2 146 2,08 4 886,71","14,30","1,75","0,0",,2010-02
16,,"11 ENEA 441,44 7 981 2 007 1,94 9 307,56","15,20","0,86","2,5",,2010-02
17,,"12 BRE 29,69 6 865 1 726 1,67 4 271,15","53,20","1,61","0,0",,2010-02
18,,"13 GETIN 712,42 6 433 1 618 1,56 3 990,84","21,80","1,61","0,0",,2010-02
19,,"14 BANKBPH 76,67 5 631 1 416 1,37 4 483,32","120,20","1,26","0,0",,2010-02
20,,"15 TVN 340,49 5 182 1 303 1,26 1 285,15","12,30","4,03","3,7",,2010-02
21,,"16 ZYWIEC 10,27 4 915 1 236 1,20 703,60","13,30","6,99","7,9",,2010-02
22,,"17 GETINOBLE 953,76 4 731 1 190 1,15 754,48","31,20","6,27","1,0",,2010-02
23,,"18 GTC 219,37 4 565 1 148 1,11 4 650,12","0,00","0,98","0,0",,2010-02
24,,"19 ASSECOPOL 77,57 4 301 1 082 1,05 4 266,64","11,50","1,01","1,6",,2010-02
25,,"20 CYFRPLSAT 268,33 3 864 972 0,94 280,97","16,70","13,75","5,2",,2010-02
26,,"21 KREDYTB 271,66 3 749 943 0,91 2 588,58","108,50","1,45","0,0",,2010-02
27,,"22 FORTISPL 24,12 3 729 938 0,91 1 522,55","0,00","2,45","0,0",,2010-02
28,,"23 SWIECIE 50,00 3 600 905 0,88 1 184,45","50,40","3,04","0,0",,2010-02
29,,"24 LOTOS 129,87 3 546 892 0,86 6 713,46","4,00","0,53","0,0",,2010-02
30,,"25 MILLENNIUM 849,18 3 286 826 0,80 2 704,30","0,00","1,22","0,0",,2010-02
31,,"26 STALPROD 6,73 3 258 819 0,79 1 291,48","10,70","2,52","1,6",,2010-02
32,,"27 LPP 1,75 3 238 814 0,79 687,27","30,50","4,71","0,0",,2010-02
33,,"28 PBG 14,30 2 803 705 0,68 1 516,96","15,30","1,85","0,0",,2010-02
34,,"29 BOGDANKA 34,01 2 413 607 0,59 1 722,35","11,80","1,40","3,7",,2010-02
35,,"30 EUROCASH 134,84 2 232 561 0,54 325,02","24,00","6,87","1,8",,2010-02
36,,"31 CCC 38,40 2 016 507 0,49 347,04","23,30","5,81","1,9",,2010-02
37,,"32 BUDIMEX 25,53 1 979 498 0,48 612,96","13,10","3,23","7,5",,2010-02
38,,"33 POLIMEXMS 464,36 1 955 492 0,48 1 330,72","14,60","1,47","0,2",,2010-02
39,,"34 NETIA 389,28 1 849 465 0,45 2 025,45","20,90","0,91","0,0",,2010-02
40,,"35 CERSANIT 144,26 1 833 461 0,45 1 016,21","0,00","1,80","0,0",,2010-02
41,,"36 SYNTHOS 1 323,25 1 786 449 0,43 1 648,38","20,00","1,08","0,0",,2010-02
42,,"37 KOPEX 74,33 1 686 424 0,41 2 185,13","17,30","0,77","0,0",,2010-02
43,,"38 NORDEABP 45,52 1 639 412 0,40 1 205,49","11,30","1,36","0,0",,2010-02
44,,"39 ECHO 420,00 1 621 408 0,39 1 720,28","14,10","0,94","0,0",,2010-02
45,,"40 KRUSZWICA 22,99 1 563 393 0,38 631,54","12,40","2,48","4,4",,2010-02
46,,"41 ORBIS 46,08 1 559 392 0,38 1 800,87","0,00","0,87","0,0",,2010-02
47,,"42 NFIEMF 103,73 1 524 383 0,37 496,69","28,40","3,07","0,0",,2010-02
48,,"43 ALCHEMIA 224,98 1 451 365 0,35 512,16","67,30","2,83","0,0",,2010-02
49,,"44 DZPOLSKA 63,79 1 438 362 0,35 333,18","135,70","4,32","0,9",,2010-02
50,,"45 KOGENERA 14,90 1 405 353 0,34 878,09","10,60","1,60","2,2",,2010-02
51,,"46 MOSTALWAR 20,00 1 340 337 0,33 508,52","15,20","2,64","0,0",,2010-02
52,,"47 PULAWY 19,12 1 328 334 0,32 1 734,18","202,80","0,77","11,7",,2010-02
53,,"48 FAMUR 481,50 1 286 323 0,31 726,40","22,40","1,77","0,0",,2010-02
54,,"49 MMPPL 153,19 1 256 316 0,31 609,56","25,70","2,06","0,0",,2010-02
55,,"50 EMPERIA 15,12 1 254 315 0,30 788,24","17,90","1,59","0,7",,2010-02
56,,"51 AGORA 50,94 1 215 305 0,30 1 196,08","31,70","1,02","0,0",,2010-02
57,,"52 DOMDEV 24,56 1 163 292 0,28 736,13","16,30","1,58","1,7",,2010-02
58,,"53 BOS 15,05 1 143 287 0,28 908,50","0,00","1,26","0,0",,2010-02
59,,"54 AMREST 14,19 1 107 278 0,27 389,56","57,50","2,84","0,0",,2010-02
60,,"55 KETY 9,23 1 051 264 0,26 800,81","14,80","1,31","0,0",,2010-02
61,,"56 INTERCARS 14,17 1 049 264 0,26 483,95","19,80","2,17","0,0",,2010-02
62,,"57 ARCTIC 52,40 990 249 0,24 483,74","9,20","2,05","0,0",,2010-02
63,,"58 KOFOLA 26,17 976 245 0,24 563,97","27,00","1,73","1,7",,2010-02
64,,"59 BIOTON 5 290,38 952 239 0,23 1 480,92","0,00","0,64","0,0",,2010-02
65,,"60 TUEUROPA 7,88 939 236 0,23 311,79","8,60","3,01","4,2",,2010-02
0,,Wielkość Kapitalizacja na koniec okresu Wartość,,,Stopa,,2010-03
1,,emisji Market capitalization księgowa,,,dywidendy,,2010-03
2,,Lp. Nazwa (mln) (mln zł),C/Z,C/WK,(%),,2010-03
3,,No Security Shares mln zł mln EUR (%) Book,P/E,P/BV,Dividend,,2010-03
4,,name outstanding PLN mil. EUR mil. (%) value,,,yield,,2010-03
5,,(mil.) (PLN mil.),,,(%),,2010-03
6,,"1 PKOBP 1 250,00 49 938 12 930 11,10 20 435,87","21,70","2,44","2,0",,2010-03
7,,"2 PEKAO 262,34 43 548 11 275 9,68 18 371,08","18,10","2,37","0,0",,2010-03
8,,"3 PGE 1 730,09 39 965 10 348 8,89 38 849,75","11,90","1,03","2,4",,2010-03
