,nazwa,okres,mln_EUR
527,CERSANIT,2008-09,700
528,POLIMEXMS,2008-09,612
529,SWIECIE,2008-09,609
530,DZPOLSKA,2008-09,582
531,BANKBPH,2008-09,581
532,ALCHEMIA,2008-09,554
533,BUDIMEX,2008-09,532
534,ECHO,2008-09,493
535,FAMUR,2008-09,459
536,KOPEX,2008-09,458
537,NFIEMF,2008-09,451
538,CCC,2008-09,451
539,AGORA,2008-09,442
540,NOBLEBANK,2008-09,435
541,PULAWY,2008-09,426
542,CIECH,2008-09,419
543,BIOTON,2008-09,413
544,POLAQUA,2008-09,402
545,BOS,2008-09,396
546,EUROCASH,2008-09,392
547,SYNTHOS,2008-09,365
548,EMPERIA,2008-09,341
549,POLICE,2008-09,337
550,MMPPL,2008-09,333
551,HOOP,2008-09,320
552,NORDEABP,2008-09,314
553,HBPOLSKA,2008-09,313
554,NETIA,2008-09,302
555,MOSTALWAR,2008-09,299
556,TUEUROPA,2008-09,293
557,ELBUDOWA,2008-09,281
558,DEBICA,2008-09,279
559,KRUSZWICA,2008-09,275
560,POLNORD,2008-09,271
567,PEKAO,2008-10,9029
568,PKOBP,2008-10,8533
569,TPSA,2008-10,7837
570,PGNIG,2008-10,5359
571,PKNORLEN,2008-10,3296
572,BZWBK,2008-10,2430
573,KGHM,2008-10,1676
574,HANDLOWY,2008-10,1600
575,BRE,2008-10,1504
576,ZYWIEC,2008-10,1419
577,INGBSK,2008-10,1415
578,TVN,2008-10,1327
579,GETIN,2008-10,1119
580,ASSECOPOL,2008-10,993
581,GTC,2008-10,978
582,CYFRPLSAT,2008-10,960
583,MILLENNIUM,2008-10,912
584,KREDYTB,2008-10,751
585,PBG,2008-10,717
586,STALPROD,2008-10,703
587,FORTISPL,2008-10,688
588,LOTOS,2008-10,610
589,CERSANIT,2008-10,514
590,ORBIS,2008-10,479
591,SWIECIE,2008-10,454
592,DZPOLSKA,2008-10,451
593,ALCHEMIA,2008-10,440
594,BUDIMEX,2008-10,439
595,LPP,2008-10,434
596,CCC,2008-10,423
597,BANKBPH,2008-10,391
598,POLIMEXMS,2008-10,390
599,BOS,2008-10,377
600,HBPOLSKA,2008-10,356
601,NFIEMF,2008-10,338
602,BIOTON,2008-10,328
603,NORDEABP,2008-10,309
604,CIECH,2008-10,308
605,HOOP,2008-10,308
606,EUROCASH,2008-10,305
607,PULAWY,2008-10,296
608,AGORA,2008-10,294
609,POLAQUA,2008-10,294
610,ECHO,2008-10,284
611,TUEUROPA,2008-10,280
612,MOSTALWAR,2008-10,273
613,NOBLEBANK,2008-10,269
614,SYNTHOS,2008-10,259
615,MMPPL,2008-10,257
616,FAMUR,2008-10,249
617,ELBUDOWA,2008-10,231
618,KOPEX,2008-10,223
619,MENNICA,2008-10,213
620,NETIA,2008-10,209
621,TRAKCJA,2008-10,204
622,POLICE,2008-10,196
623,EMPERIA,2008-10,188
624,KRUSZWICA,2008-10,182
631,PKOBP,2008-11,8517
632,PEKAO,2008-11,7747
633,TPSA,2008-11,7104
634,PGNIG,2008-11,5528
635,PKNORLEN,2008-11,2971
636,BZWBK,2008-11,2058
